user_id,gender,age,occupation,gender_encoded,age_label,age_encoded,occupation_label
32,F,25,0,0,25-34,2,other
40,M,45,0,1,45-49,4,other
42,M,25,8,1,25-34,2,farmer
58,M,25,2,1,25-34,2,artist
83,F,25,2,0,25-34,2,artist
107,M,45,18,1,45-49,4,tradesman/craftsman
108,M,25,12,1,25-34,2,programmer
113,M,18,12,1,18-24,1,programmer
127,F,45,3,0,45-49,4,clerical/admin
130,M,35,17,1,35-44,3,technician/engineer
131,M,18,4,1,18-24,1,college/grad student
133,F,25,0,0,25-34,2,other
150,M,35,7,1,35-44,3,executive/managerial
175,F,25,2,0,25-34,2,artist
190,M,25,17,1,25-34,2,technician/engineer
198,M,25,12,1,25-34,2,programmer
211,M,45,17,1,45-49,4,technician/engineer
220,M,25,12,1,25-34,2,programmer
241,M,35,20,1,35-44,3,writer
246,F,18,4,0,18-24,1,college/grad student
265,F,35,7,0,35-44,3,executive/managerial
266,M,35,11,1,35-44,3,lawyer
332,M,50,1,1,50-55,5,academic/educator
356,M,56,20,1,56+,6,writer
378,F,18,0,0,18-24,1,other
380,M,25,2,1,25-34,2,artist
401,M,18,0,1,18-24,1,other
429,M,18,0,1,18-24,1,other
449,M,25,7,1,25-34,2,executive/managerial
457,M,18,4,1,18-24,1,college/grad student
477,M,35,14,1,35-44,3,sales/marketing
482,M,25,14,1,25-34,2,sales/marketing
484,F,1,10,0,Under 18,0,K-12 student
489,M,18,4,1,18-24,1,college/grad student
495,M,18,10,1,18-24,1,K-12 student
503,M,35,11,1,35-44,3,lawyer
504,M,25,2,1,25-34,2,artist
514,M,25,2,1,25-34,2,artist
515,M,25,1,1,25-34,2,academic/educator
523,M,50,7,1,50-55,5,executive/managerial
537,M,45,14,1,45-49,4,sales/marketing
548,F,35,16,0,35-44,3,self-employed
556,F,25,9,0,25-34,2,homemaker
559,F,25,7,0,25-34,2,executive/managerial
600,M,35,17,1,35-44,3,technician/engineer
607,M,25,0,1,25-34,2,other
632,M,45,17,1,45-49,4,technician/engineer
636,M,18,20,1,18-24,1,writer
649,M,25,4,1,25-34,2,college/grad student
658,F,25,0,0,25-34,2,other
678,M,25,0,1,25-34,2,other
685,M,25,4,1,25-34,2,college/grad student
696,M,25,12,1,25-34,2,programmer
713,M,35,7,1,35-44,3,executive/managerial
718,M,18,2,1,18-24,1,artist
720,M,18,0,1,18-24,1,other
726,F,25,9,0,25-34,2,homemaker
728,M,25,6,1,25-34,2,doctor/health care
730,M,25,0,1,25-34,2,other
735,M,25,14,1,25-34,2,sales/marketing
740,M,25,14,1,25-34,2,sales/marketing
783,M,25,4,1,25-34,2,college/grad student
785,M,18,19,1,18-24,1,unemployed
789,M,18,1,1,18-24,1,academic/educator
791,M,35,7,1,35-44,3,executive/managerial
792,M,25,17,1,25-34,2,technician/engineer
811,M,50,0,1,50-55,5,other
820,M,35,7,1,35-44,3,executive/managerial
830,M,35,7,1,35-44,3,executive/managerial
838,M,50,17,1,50-55,5,technician/engineer
843,M,25,7,1,25-34,2,executive/managerial
856,F,45,6,0,45-49,4,doctor/health care
864,F,25,0,0,25-34,2,other
872,M,50,1,1,50-55,5,academic/educator
881,M,18,14,1,18-24,1,sales/marketing
889,M,45,20,1,45-49,4,writer
894,M,18,4,1,18-24,1,college/grad student
904,M,35,20,1,35-44,3,writer
909,M,45,7,1,45-49,4,executive/managerial
923,M,25,7,1,25-34,2,executive/managerial
939,F,25,20,0,25-34,2,writer
952,M,56,16,1,56+,6,self-employed
954,F,25,0,0,25-34,2,other
970,M,25,0,1,25-34,2,other
990,M,18,6,1,18-24,1,doctor/health care
997,M,1,19,1,Under 18,0,unemployed
1016,M,56,16,1,56+,6,self-employed
1020,M,18,20,1,18-24,1,writer
1038,F,56,15,0,56+,6,scientist
1040,M,25,11,1,25-34,2,lawyer
1064,M,25,7,1,25-34,2,executive/managerial
1065,F,25,0,0,25-34,2,other
1089,M,35,6,1,35-44,3,doctor/health care
1091,M,18,5,1,18-24,1,customer service
1118,M,50,13,1,50-55,5,retired
1128,M,25,1,1,25-34,2,academic/educator
1167,F,50,1,0,50-55,5,academic/educator
1192,M,50,16,1,50-55,5,self-employed
1220,M,1,10,1,Under 18,0,K-12 student
